,parameters,N,permuted,not permuted,ndarray,timeit
0,10,100,0.4685275503434241,0.4663508371450007,1.178553800098598,1000.0
1,10,500,0.43841881584376097,0.446480595972389,3.4705920009873807,1000.0
2,10,1000,0.585164821241051,0.5363879399374127,6.848852453287691,1000.0
3,10,1500,0.5821541212499142,0.5763871902599931,10.5685007981956,1000.0
4,10,2000,0.6313036130741239,0.6138433339074254,14.044441966339946,1000.0
5,50,100,1.3231102908030152,1.7347699273377657,4.213793282862753,1000.0
6,50,500,1.4693799908272922,1.838529956061393,15.826689512934536,1000.0
7,50,1000,1.6380709172226489,2.0335087031126022,31.87812655698508,1000.0
8,50,1500,1.8740390283055604,2.234609863255173,48.35605719592422,1000.0
9,50,2000,2.02739275386557,2.4138237037695944,64.07328880392015,1000.0
10,100,100,2.5576879801228642,3.5515566770918667,8.523833387065679,1000.0
11,100,500,2.9052589489147067,3.8366191289387643,31.600071277935058,1000.0
12,100,1000,3.3005302478559315,4.243330006953329,63.857787070795894,1000.0
13,100,1500,3.6707280911505222,4.577152441255748,95.21903074486181,1000.0
14,100,2000,4.157619663048536,5.016949161887169,128.66997177014127,1000.0
15,500,100,23.73748386790976,29.052967126015574,53.20998128224164,1000.0
16,500,500,27.312179637141526,31.578339488711208,170.58597082085907,1000.0
17,500,1000,35.47237213421613,39.99677518103272,340.5628259209916,1000.0
18,500,1500,43.29194032680243,47.38232517801225,504.1647125259042,1000.0
19,500,2000,51.71775243571028,56.166638045571744,677.5013497569598,1000.0
20,1000,100,8.64757125172764,9.644283290021122,15.469970020931214,100.0
21,1000,500,9.504056392237544,10.046980184037238,40.345760884229094,100.0
22,1000,1000,10.976284686010331,12.06583071872592,70.76843068003654,100.0
23,1000,1500,13.563008365221322,14.346821450162679,106.23846365511417,100.0
24,1000,2000,14.921375362202525,14.66937749972567,147.41033889586106,100.0
25,5000,100,185.9965133476071,189.2576440242119,216.04774886276573,100.0
26,5000,500,205.66665141982958,208.69992439588532,353.1017157989554,100.0
27,5000,1000,231.52683780202642,233.01748400274664,532.7730920892209,100.0
28,5000,1500,230.83943811431527,228.9678856371902,730.2848878628574,100.0
29,5000,2000,268.9386443751864,278.7161778989248,1191.2701792819425,100.0
30,10000,100,136.27416490018368,122.19033086299896,85.27338765608147,10.0
31,10000,500,87.82694372208789,226.80193486297503,525.9224437833764,10.0
32,10000,1000,284.70751703483984,98.08102964097634,169.7930524502881,10.0
33,10000,1500,87.6424246118404,133.9217699887231,380.93804753618315,10.0
34,10000,2000,106.6017005383037,105.35845590895042,230.73355651600286,10.0
35,50000,100,1927.5729120122269,1848.4781785942614,1878.9531908780336,10.0
36,50000,500,1914.5493379724212,1905.1489490298554,2052.509895930998,10.0
37,50000,1000,1979.5620119459927,1920.5545711088926,2218.098931896966,10.0
38,50000,1500,2147.723357241135,2028.9286360368133,2485.195581131149,10.0
39,50000,2000,2503.6669324818067,2331.0731643210165,2954.1997957602143,10.0
40,100000,100,8751.957376158796,8711.311644002795,8752.529595137108,10.0
41,100000,500,21054.769009803887,21153.105823738035,21251.855132138822,10.0
42,100000,1000,9788.110388151836,9870.100368152838,10523.457680232823,10.0
43,100000,1500,14955.337479053065,14800.585838244297,15770.872179729398,10.0
44,100000,2000,15146.843050058,15610.129419322126,16973.994975054637,10.0
0,10,100,0.4429053901694715,0.44559350004419684,1.0183919281698763,1000.0
1,10,500,0.480554326903075,0.4786653253249824,3.710278790909797,1000.0
2,10,1000,0.6031146668829024,0.5210941880941391,6.965617949143052,1000.0
3,10,1500,0.6263403012417257,0.5688907890580595,10.802077991887927,1000.0
4,10,2000,0.551937690936029,0.5888469531200826,13.994691665284336,1000.0
5,50,100,1.2133697518147528,1.71684505417943,4.496679895091802,1000.0
6,50,500,1.4245952796190977,1.8586854618042707,16.36903537530452,1000.0
7,50,1000,1.7558359312824905,2.0378197417594492,32.570906141772866,1000.0
8,50,1500,1.8725466141477227,2.2592942039482296,50.1722944281064,1000.0
9,50,2000,2.0680245249532163,2.4851408400572836,66.99003938119859,1000.0
10,100,100,2.4931012392044067,3.623650112655014,9.038341945037246,1000.0
11,100,500,2.8818665659055114,4.056595026049763,33.989858055021614,1000.0
12,100,1000,3.805810356978327,4.60835580015555,65.05447893822566,1000.0
13,100,1500,4.607152406126261,5.592111837118864,96.95598206622526,1000.0
14,100,2000,4.346581988967955,5.15880066389218,134.01615726621822,1000.0
15,500,100,24.80095984786749,32.364327577874064,60.36387851089239,1000.0
16,500,500,29.72482069162652,31.137707479763776,173.62708900589496,1000.0
17,500,1000,38.82774590374902,44.225102989934385,344.6262072310783,1000.0
18,500,1500,44.41788062592968,48.61346754198894,515.8011081139557,1000.0
19,500,2000,52.627075548283756,56.494775767903775,668.6111272438429,1000.0
20,1000,100,8.30400446197018,8.983234549872577,14.435083750169724,100.0
21,1000,500,9.23010179400444,9.776027689687908,38.60457446472719,100.0
22,1000,1000,10.56083316495642,11.07985678780824,69.96983253117651,100.0
23,1000,1500,12.829890496097505,13.344192086718976,104.62431200873107,100.0
24,1000,2000,13.152015496976674,14.255395727232099,140.99864052282646,100.0
25,5000,100,182.13146676681936,181.12049315776676,208.92188602499664,100.0
26,5000,500,203.5038323267363,206.85600391915068,351.7282847627066,100.0
27,5000,1000,240.5320559241809,241.73758590593934,659.5210598842241,100.0
28,5000,1500,273.4186640768312,244.69335471699014,1053.4097051210701,100.0
29,5000,2000,272.39002423966303,559.0028337701224,1277.9921858189628,100.0
30,10000,100,79.92867138283327,81.04420976014808,95.41836398933083,10.0
31,10000,500,112.31085455231369,113.20274717034772,115.54028383782133,10.0
32,10000,1000,101.14835745515302,97.120582066942,159.09319034824148,10.0
33,10000,1500,97.21235793456435,93.32188363699242,187.44952605105937,10.0
34,10000,2000,89.87437957385555,90.81884317006916,209.75945472018793,10.0
35,50000,100,1880.6833796328865,1876.4183767340146,1934.6400608732365,10.0
36,50000,500,1923.304215285927,1918.0125201470219,2135.2924720738083,10.0
37,50000,1000,1972.2865503141657,1970.930788518861,2395.4440869530663,10.0
38,50000,1500,2141.213551788125,2119.04385625571,2721.7238430608995,10.0
39,50000,2000,2238.9276174227707,2230.109474417288,2867.8801633790135,10.0
40,100000,100,9570.005071261898,9519.283744408749,9786.295560029335,10.0
41,100000,500,12847.25005248515,12160.151100496296,12356.89437619131,10.0
42,100000,1000,20762.027107442264,20954.006867608987,21608.074624686968,10.0
43,100000,1500,21380.838454965968,21714.602561725304,22299.62513553584,10.0
44,100000,2000,13515.380687427241,13726.83841015026,14980.557556648739,10.0
